r1,r2,r3,ap,at,sl,pnl,trades
0.95,0.95,0.95,2,0.5,2.4,0.0,0
0.55,0.65,0.8,2,0.5,2.4,0.0,0
0.55,0.65,0.7,2,0.5,2.4,0.0,0
0.55,0.65,0.65,2,0.5,2.4,0.0,0
0.55,0.65,0.6,2,0.5,2.4,0.0,0
0.55,0.65,0.55,2,0.5,2.4,0.0,0
0.55,0.65,0.5,2,0.5,2.4,0.0,0
0.55,0.65,0.45,2,0.5,2.4,0.0,0
0.55,0.65,0.4,2,0.5,2.4,0.0,0
0.55,0.65,0.35,2,0.5,2.4,0.0,0
0.55,0.65,0.3,2,0.5,2.4,0.0,0
0.55,0.65,0.25,2,0.5,2.4,0.0,0
0.55,0.65,0.2,2,0.5,2.4,0.0,0
0.55,0.65,0.15,2,0.5,2.4,0.0,0
0.9,0.75,0.15,2,0.5,2.4,0.0,0
0.55,0.6,0.95,2,0.5,2.4,0.0,0
0.55,0.6,0.9,2,0.5,2.4,0.0,0
0.55,0.6,0.85,2,0.5,2.4,0.0,0
0.55,0.6,0.8,2,0.5,2.4,0.0,0
0.55,0.6,0.75,2,0.5,2.4,0.0,0
0.55,0.6,0.7,2,0.5,2.4,0.0,0
0.55,0.6,0.65,2,0.5,2.4,0.0,0
0.55,0.6,0.6,2,0.5,2.4,0.0,0
0.55,0.6,0.55,2,0.5,2.4,0.0,0
0.55,0.6,0.5,2,0.5,2.4,0.0,0
0.55,0.65,0.75,2,0.5,2.4,0.0,0
0.55,0.65,0.85,2,0.5,2.4,0.0,0
0.4,0.45,0.65,2,0.5,2.4,0.0,0
0.55,0.65,0.9,2,0.5,2.4,0.0,0
0.55,0.75,0.15,2,0.5,2.4,0.0,0
0.9,0.7,0.8,2,0.5,2.4,0.0,0
0.9,0.7,0.85,2,0.5,2.4,0.0,0
0.55,0.7,0.95,2,0.5,2.4,0.0,0
0.55,0.7,0.9,2,0.5,2.4,0.0,0
0.55,0.7,0.85,2,0.5,2.4,0.0,0
0.55,0.7,0.8,2,0.5,2.4,0.0,0
0.55,0.7,0.75,2,0.5,2.4,0.0,0
0.55,0.7,0.7,2,0.5,2.4,0.0,0
0.55,0.7,0.65,2,0.5,2.4,0.0,0
0.55,0.7,0.6,2,0.5,2.4,0.0,0
0.55,0.7,0.55,2,0.5,2.4,0.0,0
0.55,0.7,0.5,2,0.5,2.4,0.0,0
0.55,0.7,0.45,2,0.5,2.4,0.0,0
0.55,0.7,0.4,2,0.5,2.4,0.0,0
0.55,0.7,0.35,2,0.5,2.4,0.0,0
0.55,0.7,0.3,2,0.5,2.4,0.0,0
0.55,0.7,0.25,2,0.5,2.4,0.0,0
0.55,0.7,0.2,2,0.5,2.4,0.0,0
0.55,0.7,0.15,2,0.5,2.4,0.0,0
0.9,0.7,0.9,2,0.5,2.4,0.0,0
0.9,0.7,0.95,2,0.5,2.4,0.0,0
0.55,0.65,0.95,2,0.5,2.4,0.0,0
0.55,0.6,0.45,2,0.5,2.4,0.0,0
0.55,0.6,0.4,2,0.5,2.4,0.0,0
0.55,0.6,0.35,2,0.5,2.4,0.0,0
0.55,0.6,0.3,2,0.5,2.4,0.0,0
0.55,0.5,0.75,2,0.5,2.4,0.0,0
0.55,0.5,0.7,2,0.5,2.4,0.0,0
0.55,0.5,0.65,2,0.5,2.4,0.0,0
0.55,0.5,0.6,2,0.5,2.4,0.0,0
0.55,0.5,0.55,2,0.5,2.4,0.0,0
