r1,r2,r3,ap,at,sl,pnl,trades
0.6,0.55,0.0,2,0.5,2.4,70.20000000000273,8
0.6,0.55,0.7,2,0.5,2.4,67.00000000000256,7
0.65,0.5,0.25,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.0,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.05,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.1,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.15,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.2,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.25,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.3,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.35,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.4,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.45,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.5,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.55,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.6,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.65,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.7,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.75,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.8,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.85,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.9,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.95,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.9,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.85,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.8,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.75,2,0.5,2.4,67.00000000000256,7
0.65,0.5,0.3,2,0.5,2.4,67.00000000000256,7
0.65,0.5,0.2,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.65,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.45,2,0.5,2.4,67.00000000000256,7
0.7,0.55,0.0,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.95,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.9,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.85,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.8,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.75,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.7,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.65,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.6,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.55,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.5,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.4,2,0.5,2.4,67.00000000000256,7
0.65,0.5,0.15,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.35,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.3,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.25,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.2,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.15,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.1,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.05,2,0.5,2.4,67.00000000000256,7
0.7,0.5,0.0,2,0.5,2.4,67.00000000000256,7
0.65,0.5,0.0,2,0.5,2.4,67.00000000000256,7
0.65,0.5,0.05,2,0.5,2.4,67.00000000000256,7
0.65,0.5,0.1,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.7,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.6,2,0.5,2.4,67.00000000000256,7
0.7,0.55,0.1,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.3,2,0.5,2.4,67.00000000000256,7
0.9,0.5,0.15,2,0.5,2.4,67.00000000000256,7
0.9,0.5,0.1,2,0.5,2.4,67.00000000000256,7
0.9,0.5,0.05,2,0.5,2.4,67.00000000000256,7
0.9,0.5,0.0,2,0.5,2.4,67.00000000000256,7
0.8,0.5,0.95,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.0,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.05,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.1,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.15,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.2,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.25,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.35,2,0.5,2.4,67.00000000000256,7
0.9,0.5,0.25,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.4,2,0.5,2.4,67.00000000000256,7
0.75,0.5,0.95,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.45,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.5,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.55,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.6,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.65,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.7,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.75,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.8,2,0.5,2.4,67.00000000000256,7
0.8,0.55,0.85,2,0.5,2.4,67.00000000000256,7
0.9,0.5,0.2,2,0.5,2.4,67.00000000000256,7
0.9,0.5,0.3,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.55,2,0.5,2.4,67.00000000000256,7
0.9,0.5,0.95,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.5,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.45,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.4,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.35,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.3,2,0.5,2.4,67.00000000000256,7
0.6,0.55,0.8,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.2,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.15,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.1,2,0.5,2.4,67.00000000000256,7
0.9,0.55,0.05,2,0.5,2.4,67.00000000000256,7
