r1,r2,r3,ap,at,sl,pnl,trades
0.9,0.9,0.5,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.7,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.6,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.55,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.5,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.45,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.4,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.35,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.3,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.25,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.2,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.15,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.1,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.05,2,0.5,2.4,378.8000000000068,4
0.95,0.85,0.0,2,0.5,2.4,378.8000000000068,4
0.95,0.85,0.05,2,0.5,2.4,378.8000000000068,4
0.95,0.85,0.1,2,0.5,2.4,378.8000000000068,4
0.95,0.85,0.15,2,0.5,2.4,378.8000000000068,4
0.95,0.85,0.2,2,0.5,2.4,378.8000000000068,4
0.95,0.85,0.25,2,0.5,2.4,378.8000000000068,4
0.95,0.85,0.3,2,0.5,2.4,378.8000000000068,4
0.95,0.85,0.35,2,0.5,2.4,378.8000000000068,4
0.95,0.85,0.4,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.65,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.75,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.85,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.8,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.95,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.05,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.1,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.15,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.2,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.25,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.3,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.35,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.4,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.45,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.9,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.55,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.6,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.65,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.7,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.75,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.8,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.85,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.9,2,0.5,2.4,378.8000000000068,4
0.9,0.9,0.95,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.85,2,0.5,2.4,378.8000000000068,4
0.95,0.85,0.45,2,0.5,2.4,378.8000000000068,4
0.95,0.85,0.5,2,0.5,2.4,378.8000000000068,4
0.95,0.85,0.55,2,0.5,2.4,378.8000000000068,4
0.95,0.9,0.75,2,0.5,2.4,378.8000000000068,4
0.95,0.9,0.85,2,0.5,2.4,378.8000000000068,4
0.95,0.9,0.9,2,0.5,2.4,378.8000000000068,4
0.95,0.9,0.95,2,0.5,2.4,378.8000000000068,4
0.85,0.85,0.95,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.8,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.75,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.7,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.65,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.6,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.55,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.5,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.45,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.4,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.35,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.3,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.25,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.2,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.15,2,0.5,2.4,378.8000000000068,4
0.9,0.85,0.1,2,0.5,2.4,378.8000000000068,4
